C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_43_382.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_43_382.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_43_382.jpg,0,0,0,6.497.864
C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_43_670.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_43_670.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_43_670.jpg,0,0,0,6.279.418
C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_43_724.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_43_724.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_43_724.jpg,0,0,0,6.229.097
C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_43_792.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_43_792.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_43_792.jpg,0,0,0,6.191.623
C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_43_860.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_43_860.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_43_860.jpg,0,0,0,6.154.376
C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_43_930.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_43_930.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_43_930.jpg,0,0,0,6.105.061
C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_43_998.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_43_998.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_43_998.jpg,0,0,0,6.068.335
C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_44_069.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_44_069.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_44_069.jpg,0,0,0,6.019.711
C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_44_137.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_44_137.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_44_137.jpg,0,0,0,59.835
C:\Users\MFV1\Documents\TrainData\IMG\center_2018_07_16_17_11_44_209.jpg,C:\Users\MFV1\Documents\TrainData\IMG\left_2018_07_16_17_11_44_209.jpg,C:\Users\MFV1\Documents\TrainData\IMG\right_2018_07_16_17_11_44_209.jpg,0,2.400.588,0,6.206.543
